"","V1","V2.x","V3","V4","V2.y"
"1747","40642",12982,12982,100,"福岡県吉富町"
"1748","40646",50792,50792,100,"福岡県上毛町"
"1749","40647",95258,90778,95.3,"福岡県築上町"
"1750","41201",413630,364058,88.02,"佐賀県佐賀市"
"1751","41202",565626,564661,99.83,"佐賀県唐津市"
"1752","41203",103942,100395,96.59,"佐賀県鳥栖市"
"1753","41204",86143,85725,99.51,"佐賀県多久市"
"1754","41205",287535,282750,98.34,"佐賀県伊万里市"
"1755","41206",238864,238855,100,"佐賀県武雄市"
"1756","41207",121997,121997,100,"佐賀県鹿島市"
"1757","41208",115469,115469,100,"佐賀県小城市"
"1758","41209",149438,147209,98.51,"佐賀県嬉野市"
"1759","41210",116137,106586,91.78,"佐賀県神埼市"
"1760","41302",1000,998,99.8,NA
"1761","41303",731,731,100,NA
"1762","41304",1029,1029,100,NA
"1763","41327",43296,43268,99.94,"佐賀県吉野ヶ里町"
"1764","41341",25476,25373,99.6,"佐賀県基山町"
"1765","41345",16631,16508,99.26,"佐賀県上峰町"
"1766","41346",68383,64830,94.8,"佐賀県みやき町"
"1767","41364",1,1,100,NA
"1768","41387",58021,58021,100,"佐賀県玄海町"
"1769","41401",76765,76109,99.15,"佐賀県有田町"
"1770","41423",14016,13917,99.29,"佐賀県大町町"
"1771","41424",25194,24779,98.35,"佐賀県江北町"
"1772","41425",85411,83429,97.68,"佐賀県白石町"
"1773","41441",55686,55686,100,"佐賀県太良町"
"1774","42201",638305,271373,42.51,"長崎県長崎市"
"1775","42202",623960,185047,29.66,"長崎県佐世保市"
"1776","42203",122577,63357,51.69,"長崎県島原市"
"1777","42204",382831,355691,92.91,"長崎県諫早市"
"1778","42205",147873,97809,66.14,"長崎県大村市"
"1779","42206",14,14,100,NA
"1780","42207",252643,140976,55.8,"長崎県平戸市"
"1781","42208",178028,122013,68.54,"長崎県松浦市"
"1782","42209",201396,130061,64.58,"長崎県対馬市"
"1783","42210",244388,244044,99.86,"長崎県壱岐市"
"1784","42211",261696,144610,55.26,"長崎県五島市"
"1785","42212",248677,248677,100,"長崎県西海市"
"1786","42213",244773,240719,98.34,"長崎県雲仙市"
"1787","42214",281889,253190,89.82,"長崎県南島原市"
"1788","42307",52718,51187,97.1,"長崎県長与町"
"1789","42308",43644,42826,98.13,"長崎県時津町"
"1790","42321",68488,68476,99.98,"長崎県東彼杵町"
"1791","42322",46169,46167,100,"長崎県川棚町"
"1792","42323",60857,57805,94.98,"長崎県波佐見町"
"1793","42382",2,2,100,NA
"1794","42383",28159,27918,99.14,"長崎県小値賀町"
"1795","42388",4333,4333,100,NA
"1796","42389",2450,2450,100,NA
"1797","42391",43693,43580,99.74,"長崎県佐々町"
"1798","42411",149176,149176,100,"長崎県新上五島町"
"1799","43101",83863,15571,18.57,"熊本県熊本市中央区"
"1800","43102",106615,80590,75.59,"熊本県熊本市東区"
"1801","43103",147934,2509,1.7,"熊本県熊本市西区"
"1802","43104",202263,82456,40.77,"熊本県熊本市南区"
"1803","43105",202645,69241,34.17,"熊本県熊本市北区"
"1804","43201",8725,7082,81.17,NA
